52 44
43 43
46 45
49 41
52 38
39 43
43 43
52 45
50 47
55 51
45 47
56 48
35 42
49 44
44 45
41 42
45 43
41 43
44 43
51 48
37 41
45 41
48 49
43 38
45 39
44 43
44 46
41 44
40 41
45 42
41 46
31 42
49 46
41 43
43 44
43 44
53 46
47 46
51 43
47 49
48 44
36 41
53 47
44 45
50 45
45 43
46 46
38 43
40 41
50 48
46 47
44 46
49 45
45 43
47 44
39 48
41 41
40 36
50 39
37 36
40 41
41 38
47 46
39 45
39 35
43 35
41 39
39 39
34 43
35 43
47 44
41 37
46 44
37 39
46 42
45 43
40 40
51 43
45 40
42 41
44 49
46 48
47 46
54 43
45 33
41 39
53 47
29 36
41 43
31 40
39 44
42 41
35 45
54 48
43 42
55 49
36 43
41 40
45 44
44 40
38 41
22 41
38 39
47 48
42 42
51 48
42 43
49 47
43 47
54 44
39 39
50 47
47 49
51 47
32 42
41 45
37 41
33 38
50 41
41 43
38 45
43 45
53 51
46 40
30 39
37 42
46 46
37 44
46 44
47 47
50 42
38 38
33 39
42 42
38 45
54 50
34 32
42 45
55 48
44 43
33 38
32 33
50 48
25 33
54 49
47 46
45 41
42 44
50 48
46 45
42 44
31 36
50 41
44 44
32 44
47 44
48 46
46 37
39 31
46 47
49 37
37 40
48 48
43 45
42 41
31 34
47 44
44 44
45 43
33 34
45 43
39 39
43 47
41 42
44 44
51 47
40 43
40 37
43 45
46 41
40 43
56 44
46 45
37 42
43 38
43 52
43 44
47 42
50 43
30 43
51 46
40 45
47 41
44 40
40 46
41 47
49 45
36 45
37 36
51 47
46 43
40 40
46 37
50 40
52 47
43 40
48 42
48 46
37 43
38 42
54 50
47 44
44 41
47 40
44 44
46 33
44 43
54 48
40 42
41 44
41 40
40 44
40 43
48 48
49 47
52 39
52 43
43 38
34 45
33 35
44 47
48 44
50 46
47 45
34 37
49 44
41 39
42 45
49 50
42 45
44 44
35 42
37 38
34 39
46 41
44 43
44 42
40 38
52 45
34 37
32 39
35 36
48 44
52 48
40 49
52 50
44 41
45 44
48 43
35 37
40 39
48 49
46 42
52 44
46 46
41 48
46 45
44 43
47 43
52 45
44 43
41 43
46 41
39 41
42 45
53 50
35 37
41 38
55 40
40 45
53 49
31 28
43 40
48 44
48 47
56 48
35 43
43 44
35 33
46 45
51 48
53 41
49 46
37 41
44 43
43 47
42 45
47 38
39 39
28 37
47 47
49 50
27 34
48 49
37 37
53 50
40 39
48 43
50 46
43 43
41 42
37 39
39 44
43 45
55 48
35 36
42 45
45 42
41 39
50 48
42 44
42 41
45 38
47 45
53 47
30 33
42 37
45 47
31 38
53 45
37 42
37 36
42 41
52 42
48 40
47 47
50 52
40 40
41 43
53 42
39 40
39 33
52 45
51 44
44 40
51 51
47 46
42 41
41 38
32 40
41 41
29 42
43 41
41 42
51 40
36 35
51 46
45 40
46 45
46 46
48 38
48 50
37 45
45 48
50 45
41 44
34 40
45 47
43 41
43 42
45 48
46 41
41 45
34 43
40 47
36 34
40 38
37 43
48 46
44 47
37 45
40 37
40 40
54 47
35 43
43 45
36 36
52 49
38 29
43 41
47 40
53 44
46 45
48 42
45 44
38 45
42 41
39 41
50 45
28 32
46 48
47 46
49 47
56 49
45 46
36 39
44 41
45 44
51 49
48 43
50 48
37 40
51 45
53 45
35 40
48 49
36 40
36 32
40 45
42 40
42 37
48 39
40 41
46 45
41 39
44 43
50 46
34 42
49 45
48 45
40 46
47 49
49 41
42 42
50 43
47 47
42 38
39 42
48 41
41 43
48 48
41 42
31 39
40 41
55 43
49 46
40 44
42 47
49 47
49 47
52 44
36 38
37 39
36 40
47 44
31 31
46 40
39 44
55 51
53 45
53 45
46 43
41 44
31 38
34 41
43 42
42 43
38 38
51 42
50 44
38 46
45 42
34 40
51 44
40 43
39 38
43 43
34 44
44 40
52 42
46 44
41 39
52 52
40 44
39 43
49 49
46 45
37 41
50 45
53 49
31 35
31 35
36 36
34 38
54 44
32 39
45 39
49 46
46 41
41 49
25 29
43 44
38 42
44 41
40 39
41 48
49 46
36 36
38 40
47 38
33 33
41 45
47 47
45 43
46 51
48 46
50 41
49 41
41 41
21 40
47 47
36 41
49 46
37 45
41 47
46 47
39 45
46 46
45 42
29 35
40 41
49 46
43 42
53 48
44 45
43 47
43 45
44 43
47 43
54 46
46 41
39 47
43 48
54 46
43 43
53 48
48 51
36 28
48 46
46 42
36 41
42 43
54 44
48 38
52 48
40 43
29 32
48 49
45 42
32 42
49 40
49 43
46 50
40 40
54 52
39 39
46 44
38 39
39 45
42 45
42 44
49 45
44 41
44 37
46 44
51 41
47 43
44 42
51 46
54 51
28 29
51 48
45 43
47 44
43 40
19 27
47 46
35 44
43 45
44 52
45 41
43 46
40 41
43 47
48 47
36 39
33 42
46 40
47 42
49 49
41 42
55 46
37 41
36 45
45 44
32 34
49 47
46 46
50 48
36 45
47 46
35 42
40 39
40 38
45 43
48 42
38 37
52 46
46 41
40 36
43 37
42 45
